









Frequency of observations in the selected location(s).:
Number of taxa: 	180

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	8.0	10.0	5.0	4.0	6.0	9.0	7.0	2.0	5.0	1.0	6.0	8.0	5.0	9.0	18.0	15.0	17.0	8.0	9.0	8.0	7.0	9.0	4.0	6.0	3.0	3.0	6.0	11.0	7.0	6.0	7.0	5.0	1.0	8.0	6.0	5.0	8.0	3.0	3.0	10.0	6.0	3.0	11.0	4.0	2.0	5.0	1.0	10.0	

Snow Goose	0.0	0.0	0.2	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.125	0.0	0.2	0.25	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.1111111111111111	0.0	0.06666666666666667	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	
Cackling Goose	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.25	0.3	0.8	0.5	0.5	0.4444444444444444	0.42857142857142855	1.0	0.0	0.0	0.16666666666666666	0.25	0.4	0.2222222222222222	0.4444444444444444	0.3333333333333333	0.47058823529411764	0.375	0.6666666666666666	0.625	0.42857142857142855	0.6666666666666666	0.75	0.3333333333333333	1.0	0.6666666666666666	0.6666666666666666	0.7272727272727273	0.7142857142857143	0.16666666666666666	0.14285714285714285	0.0	1.0	0.125	0.16666666666666666	0.4	0.25	0.6666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.2	
Northern Shoveler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.2	0.0	0.0	
Gadwall	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian Wigeon	0.125	0.0015	0.0	0.0	0.16666666666666666	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	
American Wigeon	0.625	0.7	0.8	0.25	0.5	0.7777777777777778	0.7142857142857143	1.0	0.4	0.0	0.6666666666666666	0.375	0.0	0.3333333333333333	0.16666666666666666	0.06666666666666667	0.058823529411764705	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.2	0.25	0.6666666666666666	0.0	0.3	0.5	0.6666666666666666	0.36363636363636365	0.5	0.5	0.8	0.0	0.4	
Mallard	0.25	0.4	0.8	0.25	0.3333333333333333	0.4444444444444444	0.42857142857142855	0.0	0.2	0.0	0.3333333333333333	0.0	0.2	0.1111111111111111	0.1111111111111111	0.13333333333333333	0.23529411764705882	0.125	0.0	0.125	0.14285714285714285	0.2222222222222222	0.5	0.0	0.0	0.0	0.0	0.09090909090909091	0.14285714285714285	0.16666666666666666	0.42857142857142855	0.0	0.0	0.25	0.16666666666666666	0.4	0.125	0.3333333333333333	0.0	0.3	0.5	0.6666666666666666	0.18181818181818182	0.5	0.5	0.4	0.0	0.3	
Mallard (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.1	
Green-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.2	0.0	0.0	
Ring-necked Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	
Greater Scaup	0.5	0.6	0.2	0.5	0.6666666666666666	0.7777777777777778	0.5714285714285714	0.5	0.2	0.0	0.16666666666666666	0.25	0.2	0.2222222222222222	0.1111111111111111	0.0	0.0015	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0015	0.36363636363636365	0.0015	0.0	0.4	0.0	0.2	
Lesser Scaup	0.25	0.1	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.3	
Greater/Lesser Scaup	0.125	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	
Common Eider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck	0.5	0.7	0.6	0.5	0.5	0.5555555555555556	0.14285714285714285	1.0	0.2	0.0	0.16666666666666666	0.375	0.2	0.2222222222222222	0.2777777777777778	0.26666666666666666	0.058823529411764705	0.25	0.1111111111111111	0.375	0.0	0.1111111111111111	0.25	0.0	0.0	0.0	0.0	0.0	0.0015	0.16666666666666666	0.0	0.0	1.0	0.25	0.16666666666666666	0.0	0.25	0.3333333333333333	0.3333333333333333	0.2	0.3333333333333333	0.3333333333333333	0.18181818181818182	0.0	0.5	0.6	0.0	0.4	
