









Frequency of observations in the selected location(s).:
Number of taxa: 	246

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	10.0	8.0	6.0	13.0	10.0	13.0	20.0	6.0	10.0	6.0	13.0	15.0	16.0	18.0	19.0	13.0	10.0	6.0	8.0	9.0	9.0	8.0	8.0	5.0	5.0	12.0	7.0	12.0	8.0	11.0	9.0	15.0	6.0	15.0	16.0	11.0	9.0	3.0	11.0	14.0	11.0	5.0	10.0	8.0	5.0	2.0	6.0	9.0	

Emperor Goose	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	
Brant	0.1	0.0	0.0	0.0	0.1	0.15384615384615385	0.05	0.0	0.1	0.16666666666666666	0.0	0.0	0.125	0.0	0.10526315789473684	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.4	0.0	0.3333333333333333	0.2222222222222222	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.2857142857142857	0.09090909090909091	0.0	0.0	0.25	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.1	0.07692307692307693	0.15	0.16666666666666666	0.1	0.5	0.3076923076923077	0.3333333333333333	0.375	0.5555555555555556	0.3157894736842105	0.3076923076923077	0.2	0.0	0.0	0.2222222222222222	0.2222222222222222	0.0	0.0	0.2	0.0	0.0015	0.0	0.16666666666666666	0.25	0.09090909090909091	0.0	0.06666666666666667	0.0	0.06666666666666667	0.125	0.0015	0.3333333333333333	0.3333333333333333	0.0	0.14285714285714285	0.5454545454545454	0.0	0.0	0.0	0.2	0.0	0.0	0.1111111111111111	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.125	0.0	0.0	0.0	0.1111111111111111	
Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.05263157894736842	0.0	0.0	0.0	0.125	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0015	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.1	0.0	0.0	0.07692307692307693	0.1	0.0	0.05	0.16666666666666666	0.3	0.0	0.3076923076923077	0.13333333333333333	0.125	0.2222222222222222	0.10526315789473684	0.23076923076923078	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0625	0.0	0.2222222222222222	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	
Gadwall	0.0	0.0	0.0	0.07692307692307693	0.1	0.0	0.05	0.0	0.0	0.0	0.07692307692307693	0.0	0.0625	0.05555555555555555	0.21052631578947367	0.15384615384615385	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.1875	0.0	0.3333333333333333	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	
Eurasian Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.2	0.0	0.16666666666666666	0.0	
American Wigeon	0.1	0.0	0.16666666666666666	0.23076923076923078	0.3	0.23076923076923078	0.2	0.16666666666666666	0.4	0.3333333333333333	0.46153846153846156	0.13333333333333333	0.3125	0.2777777777777778	0.21052631578947367	0.15384615384615385	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.125	0.09090909090909091	0.1111111111111111	0.0	0.09090909090909091	0.2857142857142857	0.0	0.6	0.2	0.375	0.2	0.0	0.3333333333333333	0.3333333333333333	
Eurasian x American Wigeon (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard	0.3	0.25	0.0015	0.23076923076923078	0.3	0.23076923076923078	0.35	0.5	0.5	0.8333333333333334	0.6153846153846154	0.6	0.5625	0.7777777777777778	0.631578947368421	0.6923076923076923	0.4	0.3333333333333333	0.5	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.08333333333333333	0.125	0.2727272727272727	0.1111111111111111	0.13333333333333333	0.0	0.2	0.1875	0.09090909090909091	0.4444444444444444	0.0	0.18181818181818182	0.21428571428571427	0.36363636363636365	0.4	0.2	0.5	0.2	0.0	0.6666666666666666	0.2222222222222222	
Northern Pintail	0.0	0.125	0.0	0.07692307692307693	0.2	0.07692307692307693	0.0	0.0	0.4	0.0	0.07692307692307693	0.0	0.125	0.0	0.10526315789473684	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.06666666666666667	0.0625	0.0	0.3333333333333333	0.0	0.0	0.07142857142857142	0.0	0.0	0.1	0.0	0.0	0.0	0.16666666666666666	0.0	
Green-winged Teal	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.3	0.16666666666666666	0.23076923076923078	0.2	0.3125	0.2777777777777778	0.3684210526315789	0.15384615384615385	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.09090909090909091	0.21428571428571427	0.0	0.0	0.1	0.125	0.0	0.0	0.16666666666666666	0.2222222222222222	
Canvasback	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Duck	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Scaup	0.0	0.0	0.0	0.07692307692307693	0.1	0.0	0.05	0.0	0.0	0.0	0.07692307692307693	0.0	0.0625	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.16666666666666666	0.1111111111111111	
Lesser Scaup	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater/Lesser Scaup	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck	0.0	0.0	0.16666666666666666	0.07692307692307693	0.2	0.15384615384615385	0.1	0.0	0.0	0.16666666666666666	0.07692307692307693	0.0	0.0625	0.1111111111111111	0.05263157894736842	0.07692307692307693	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13333333333333333	0.0	0.06666666666666667	0.0	0.0	0.0	0.0015	0.0	0.07142857142857142	0.09090909090909091	0.0	0.2	0.125	0.0	0.0	0.16666666666666666	0.1111111111111111	
Surf Scoter	0.7	0.625	0.6666666666666666	0.6923076923076923	0.7	0.6923076923076923	0.45	0.6666666666666666	0.4	0.8333333333333334	0.46153846153846156	0.5333333333333333	0.5	0.5	0.631578947368421	0.5384615384615384	0.2	0.16666666666666666	0.125	0.3333333333333333	0.2222222222222222	0.0	0.0	0.0015	0.0	0.0	0.0	0.3333333333333333	0.0	0.09090909090909091	0.1111111111111111	0.26666666666666666	0.0015	0.4666666666666667	0.4375	0.18181818181818182	0.5555555555555556	0.6666666666666666	0.7272727272727273	0.9285714285714286	0.45454545454545453	0.8	0.6	0.625	1.0	0.0	0.5	0.5555555555555556	
